Field,Link,BN,Unlinked Auth
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=3490,3490,TRANSFERENCIA DE CALOR?
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=4285,4285,ZUMOS DE FRUTAS
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=4289,4289,ZUMOS DE FRUTAS
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=7653,7653,SALUD AMBIENTAL
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=7697,7697,SALUD AMBIENTAL
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=8347,8347,FUNCIONES [MATEMATICAS]
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=8977,8977,FUNCIONES [MATEMATICAS]
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=10291,10291,ESTRUCTURAS [CONSTRUCCION]
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=10319,10319,ESTRUCTURAS [CONSTRUCCION]
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=10349,10349,LABAORATORIOS DE ENSAYO
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=11340,11340,INNOVACION
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=11558,11558,TAYLORISMO
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=11558,11558,PRODUCCION EN CADENA
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=11560,11560,HISTORIA DE LA EDUCACION
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=11560,11560,CREACION DE INSTITUCIONES EDUCATIVAS
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=11565,11565,HISTORIA DE LA MEDICINA
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=11565,11565,EPIDEMIAS
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=11573,11573,COMBUSTIBLES LEÑOSOS
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=11627,11627,ABOGADOS
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=11627,11627,HOMENAJES
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=11628,11628,HOMENAJES
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=11694,11694,POETAS
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=11694,11694,HOMENAJES
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=11701,11701,HOMENAJES
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=11702,11702,ASTROMETRIA
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=11702,11702,EFEMERIDES
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=12816,12816,TECNICAS DE PREVISION
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=12952,12952,DISEÑO DEL PUESTO DE TRABAJO
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=12952,12952,SALUD MENTAL
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=12953,12953,VENENOS INDUSTRIALES
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=12953,12953,TOXICOLOGIA DE LOS MEDICAMENTOS
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=12953,12953,ANIMALES VENENOSOS
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=12953,12953,PLANTA TOXICAS
650,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/catalogue/detail.pl?biblionumber=12954,12954,APARATO RESPIRATORIO
