Field,BN,$9,$a,SF2,Aut,Biblio
700,12,12474,"Salvadori, Mario",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=12474#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12#tab7XX
700,12,12473,"Salvadori, Giuseppina",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=12473#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12#tab7XX
700,14,5380,"Freeman, Harry M.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=5380#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14#tab7XX
650,15,19380,LENGUAJES DE PROGRAMACION,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=19380#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=15#tab6XX
700,15,6451,"Guerrero, Gabriel",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=6451#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=15#tab7XX
650,17,17617,ELECTROMAGNETISMO,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17617#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=17#tab6XX
650,17,16173,CAMPOS ELECTROMAGNETICOS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=16173#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=17#tab6XX
700,17,4760,"Ertze Encinas, José Ramón",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=4760#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=17#tab7XX
700,17,7484,"Jiménez Domínguez, Rolando V.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=7484#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=17#tab7XX
700,19,3637,"Corbitt, Robert A.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=3637#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=19#tab7XX
650,21,22635,VIDRIO,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=22635#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=21#tab6XX
700,21,6006,"Goldman, Jacob E.",1921-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=6006#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=21#tab7XX
650,34,19625,MATEMATICAS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=19625#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=34#tab6XX
700,34,8680,"Longley, William Raymond",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=8680#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=34#tab7XX
700,36,13235,"Smerk, George M.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=13235#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=36#tab7XX
700,42,26706,"Leal, Aníbal Carlos",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=26706#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=42#tab7XX
