Field,BN,$a,SF2,Link
700,46,"Gaylord, Edwin Henry",1903-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=46#tab7XX
700,61,"Eshbach, Ovid Wallace",1893-1958,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=61#tab7XX
700,203,"Martínez García, Guillermo",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=203#tab7XX
700,235,"Frid, David",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=235#tab7XX
700,334,"Tolosa, Juan J.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=334#tab7XX
710,513,Siemens Aktiengesellschaft,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=513#tab7XX
710,514,Siemens Aktiengesellschaft,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=514#tab7XX
710,515,Siemens Aktiengesellschaft,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=515#tab7XX
700,588,"Urbina Medal, Edmundo Gerardo",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=588#tab7XX
100,656,"Stevenson, William D.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=656#tab1XX
110,657,Shell,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=657#tab1XX
710,866,International Buiness Machines Corp.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=866#tab7XX
710,935,Universidad de Buenos Aires,Universidad de Buenos Aires. Facultad de Ingeniería. Instituto de Geodesia. Cátedra de geodesia,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=935#tab7XX
710,936,Universidad de Buenos Aires. Facultad de Ingeniería. Instituto de Geodesia. Cátedra de Geodesia,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=936#tab7XX
710,937,Universidad de Buenos Aires. Facultad de Ingeniería. Instituto de Geodesia. Cátedra de Geodesia,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=937#tab7XX
710,938,Universidad de Buenos Aires. Facultad de Ingeniería. Instituto de Geodesia. Cátedra de Geodesia,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=938#tab7XX
700,1010,"Naves Ruiz, Juan",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=1010#tab7XX
