Field,Link,BN,$a,SF2
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=46#tab6XX,46,"Gaylord, Edwin Henry",1903-
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=61#tab6XX,61,"Eshbach, Ovid Wallace",1893-1958
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=203#tab6XX,203,"Martínez García, Guillermo",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=235#tab6XX,235,"Frid, David",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=334#tab6XX,334,"Tolosa, Juan J.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=588#tab6XX,588,"Urbina Medal, Edmundo Gerardo",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=1010#tab6XX,1010,"Naves Ruiz, Juan",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=1045#tab6XX,1045,"Gallager, Robert",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=1060#tab6XX,1060,"Tschlek, José",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=1304#tab6XX,1304,"Jones, Franklin D.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=1305#tab6XX,1305,"Maluquer Wahl, Juan J.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=1345#tab6XX,1345,"Vericat Raga, D. Juan B.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=1370#tab6XX,1370,"Chaussin, C.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=1999#tab6XX,1999,"Coro Pando, Julio",
